"position.disgap","Type","MaxLateralSpeed"
-195,"Max",0.22151827896084
-185,"Max",0.288651011529299
-175,"Max",0.288041142383224
-165,"Max",0.269889877825487
-155,"Max",0.26999421681771
-145,"Max",0.283141905498944
-135,"Max",0.270388743823448
-125,"Max",0.249674397099488
-115,"Max",0.250899280648758
-105,"Max",0.252123643164086
-95,"Max",0.253246530572767
-85,"Max",0.254368860710971
-75,"Max",0.255491191005344
-65,"Max",0.256204852723842
-55,"Max",0.00540141489753932
-45,"Max",0.00537293771660455
-35,"Max",0.00534438641689967
-25,"Max",0.00531590222036643
-15,"Max",0.00476598081873135
-5,"Max",0.00523039488865953
5,"Max",0.209168421962123
15,"Max",0.249677745501863
25,"Max",0.420305276679157
35,"Max",0.373021902041496
45,"Max",0.487072882279123
55,"Max",0.411071413168368
65,"Max",0.43592930303241
75,"Max",0.361780848666497
85,"Max",0.528277500348172
95,"Max",0.730659875313961
105,"Max",0.843220926707021
115,"Max",0.775594168616802
125,"Max",0.807425521358767
135,"Max",0.716969250660247
145,"Max",0.768223120353945
155,"Max",0.540190610562097
165,"Max",0.334378456839212
175,"Max",0.33634349946098
185,"Max",0.461440738987565
195,"Max",0.703722326797181
-195,"P85",0.0597346216621397
-185,"P85",0.23769063778181
-175,"P85",0.274190142786158
-165,"P85",0.0717618543256927
-155,"P85",0.0717665395822376
-145,"P85",0.273429321231363
-135,"P85",0.251256412968909
-125,"P85",0.245695611861308
-115,"P85",0.0667835593221497
-105,"P85",0.0670896499509818
-95,"P85",0.223477993464788
-85,"P85",0.245108805091054
-75,"P85",0.245161127656296
-65,"P85",0.0681191175418232
-55,"P85",0.00520896191939069
-45,"P85",0.00521557603474507
-35,"P85",0.00522371968329825
-25,"P85",0.00522733125227344
-15,"P85",0.00433063856120764
-5,"P85",0.00487442700997009
5,"P85",0.0732541645466084
15,"P85",0.239577704339037
25,"P85",0.282707496177827
35,"P85",0.269700587987674
45,"P85",0.373883609357827
55,"P85",0.364428793427641
65,"P85",0.404313829478724
75,"P85",0.264635221599309
85,"P85",0.365453786983726
95,"P85",0.336606464331403
105,"P85",0.442138672271485
115,"P85",0.337144847213726
125,"P85",0.287350957940252
135,"P85",0.436834680722667
145,"P85",0.43777250290305
155,"P85",0.362496362409259
165,"P85",0.250594435280613
175,"P85",0.250874746314164
185,"P85",0.36887194999998
195,"P85",0.429652019489474
-195,"Median",0.00535765498083306
-185,"Median",0.00535966132348263
-175,"Median",0.00513664751288504
-165,"Median",0.00512955282621036
-155,"Median",0.00512647857883418
-145,"Median",0.00512138546348193
-135,"Median",0.111276886024676
-125,"Median",0.0187574242214439
-115,"Median",0.00458369146856456
-105,"Median",0.00457043739383794
-95,"Median",0.00517843070890169
-85,"Median",0.109318641595304
-75,"Median",0.108949143335159
-65,"Median",0.00452055895246363
-55,"Median",-0.0987934099261926
-45,"Median",-0.0986511064247483
-35,"Median",-0.0985107256406027
-25,"Median",-0.0888885575347805
-15,"Median",-0.229866996043979
-5,"Median",-0.123740001647662
5,"Median",-0.0463618273791956
15,"Median",0.0952104087599391
25,"Median",0.137067770654255
35,"Median",0.157186611238074
45,"Median",0.158823181660652
55,"Median",0.205915936386641
65,"Median",0.181719923884285
75,"Median",0.189991013004154
85,"Median",0.199775895642655
95,"Median",0.170864283914431
105,"Median",0.165106287864203
115,"Median",0.106931617461046
125,"Median",0.0288080929869657
135,"Median",0.143193112580905
145,"Median",-0.0245638867725013
155,"Median",0.0319693050580245
165,"Median",0.153598288425513
175,"Median",0.154612385214593
185,"Median",0.155259620668459
195,"Median",0.0882928746410619
-195,"Avg",0.041320771042547
-185,"Avg",0.0883247138725692
-175,"Avg",0.0962006041386126
-165,"Avg",0.0491936381529084
-155,"Avg",0.0136499850953041
-145,"Avg",0.0954698749404008
-135,"Avg",0.124679074737921
-125,"Avg",0.0599296972014663
-115,"Avg",-0.0425817983788547
-105,"Avg",-0.0853973427967095
-95,"Avg",-0.0496429312789287
-85,"Avg",-0.0533890346176585
-75,"Avg",-0.0974327335589392
-65,"Avg",-0.21551077433852
-55,"Avg",-0.291258866590512
-45,"Avg",-0.335333235863741
-35,"Avg",-0.292584066747823
-25,"Avg",-0.186659874053027
-15,"Avg",-0.208322297540652
-5,"Avg",-0.219335186987678
5,"Avg",-0.20074117314813
15,"Avg",0.020622755227069
25,"Avg",0.135771348779417
35,"Avg",0.146408310093937
45,"Avg",0.221644998128488
55,"Avg",0.219122000752093
65,"Avg",0.23748467675609
75,"Avg",0.210784290178182
85,"Avg",0.245079066622811
95,"Avg",0.20602229571456
105,"Avg",0.213282425428619
115,"Avg",0.147039750906824
125,"Avg",0.0360228794461471
135,"Avg",0.195841681490919
145,"Avg",0.0981108353447259
155,"Avg",0.107188990790577
165,"Avg",0.17011379260013
175,"Avg",0.170590129030981
185,"Avg",0.2107994616769
195,"Avg",0.174936501412119
-195,"Min",0.00491466858931911
-185,"Min",0.00492075513857883
-175,"Min",0.00439121127552269
-165,"Min",0.00437493075727653
-155,"Min",-0.20894850572757
-145,"Min",0.00434236046791454
-135,"Min",0.00495949311393875
-125,"Min",-0.176294258983952
-115,"Min",-0.266848106258691
-105,"Min",-0.513685782663573
-95,"Min",-0.514338308113592
-85,"Min",-0.774371963622938
-75,"Min",-0.771505264059242
-65,"Min",-0.796156407858027
-55,"Min",-0.797164337154839
-45,"Min",-1.06609408978935
-35,"Min",-1.06731724042541
-25,"Min",-0.751186880317992
-15,"Min",-0.546215944146469
-5,"Min",-0.545796747487859
5,"Min",-0.842124590436859
15,"Min",-0.315373487784466
25,"Min",-0.06836712858178
35,"Min",-0.0747888973566304
45,"Min",0.0597224400894776
55,"Min",0.0649625287651314
65,"Min",0.105881390011552
75,"Min",0.125464575370639
85,"Min",0.0590119388720477
95,"Min",-0.0468619194766413
105,"Min",-0.230771296074139
115,"Min",-0.256187368984171
125,"Min",-0.464299048116215
135,"Min",-0.11022357002181
145,"Min",-0.239616448812124
155,"Min",-0.132213524672825
165,"Min",0.0735868187485935
175,"Min",0.0731127616478787
185,"Min",0.0726659099531541
195,"Min",-0.150378717591833
