"position.disgap","Type","AvgLateralSpeed"
-195,"Max",0.581599581382287
-185,"Max",0.473885183186464
-175,"Max",0.361653997177743
-165,"Max",0.546978734301489
-155,"Max",0.490172317706999
-145,"Max",0.656798642463875
-135,"Max",1.37434222076727
-125,"Max",2.01280072776863
-115,"Max",2.61025408272765
-105,"Max",3.20760525457634
-95,"Max",3.55703202035362
-85,"Max",3.17833174165959
-75,"Max",2.50751177325484
-65,"Max",1.82627957283223
-55,"Max",1.41655800548036
-45,"Max",1.29911606598193
-35,"Max",1.36311175940468
-25,"Max",1.41418099002092
-15,"Max",1.51456682111947
-5,"Max",0.832280528582522
5,"Max",0.794566890142231
15,"Max",0.293684750026412
25,"Max",0.0778535326611121
35,"Max",0.0228301847065411
45,"Max",0.100496159998701
55,"Max",0.163447547900257
65,"Max",0.173204719008103
75,"Max",0.15769129587774
85,"Max",0.125145013819965
95,"Max",0.0488991297233833
105,"Max",-0.0111331713842456
115,"Max",0.0732400556904076
125,"Max",0.265630244819261
135,"Max",0.307408347046169
145,"Max",0.29241754200595
155,"Max",0.340254686194829
165,"Max",0.234016998619637
175,"Max",0.234106611942034
185,"Max",0.0838081037184385
195,"Max",-0.034038642819932
-195,"P85",0.427686606436139
-185,"P85",0.401963079106142
-175,"P85",0.348098849438222
-165,"P85",0.328340238431778
-155,"P85",0.250046853187109
-145,"P85",0.551283641897414
-135,"P85",0.824756052414082
-125,"P85",1.04597583829413
-115,"P85",1.23518775677618
-105,"P85",1.45922162778514
-95,"P85",1.55634272593067
-85,"P85",1.58949084142694
-75,"P85",1.54482522891406
-65,"P85",1.41126923985802
-55,"P85",1.32810706398397
-45,"P85",1.07815939890023
-35,"P85",0.957528484672376
-25,"P85",1.18453935437262
-15,"P85",0.969450534212831
-5,"P85",0.804838929797943
5,"P85",0.536392333887909
15,"P85",0.116410308225672
25,"P85",-0.00211915952175079
35,"P85",0.000442481997772397
45,"P85",0.0827633307441075
55,"P85",0.122677585705511
65,"P85",0.160807885189844
75,"P85",0.105799729865689
85,"P85",0.0182892372779351
95,"P85",-0.0430793128186104
105,"P85",-0.0149105151705881
115,"P85",0.0624697009948849
125,"P85",0.216859489193796
135,"P85",0.292457439481571
145,"P85",0.269866543643794
155,"P85",0.204011241340018
165,"P85",0.164475735926334
175,"P85",0.05941305185392
185,"P85",-0.0598482485687701
195,"P85",-0.0596285228972181
-195,"Median",0.248670715071175
-185,"Median",0.175272579626885
-175,"Median",0.0732789711344549
-165,"Median",0.0279626717756057
-155,"Median",0.094668839923993
-145,"Median",0.12926615358736
-135,"Median",0.144944772372746
-125,"Median",0.287017110505051
-115,"Median",0.381116914319232
-105,"Median",0.370159281657254
-95,"Median",0.472973672267633
-85,"Median",0.0350263676579051
-75,"Median",0.0707826896220293
-65,"Median",0.831348187589818
-55,"Median",0.410509888856703
-45,"Median",0.334319515405036
-35,"Median",-0.0088009873641522
-25,"Median",0.0799263872283264
-15,"Median",0.127851495126426
-5,"Median",0.236778049231105
5,"Median",0.327849227001193
15,"Median",0.039127017880378
25,"Median",-0.0552142897261915
35,"Median",-0.0474638021432326
45,"Median",-0.0260655701390484
55,"Median",0.0397800261378145
65,"Median",0.044544351416663
75,"Median",-0.0122853256995088
85,"Median",-0.029802699956297
95,"Median",-0.0811834680652315
105,"Median",-0.0989787962526103
115,"Median",-0.144045099161678
125,"Median",0.0180520806536798
135,"Median",0.270588014410404
145,"Median",0.198022429109208
155,"Median",0.094827276454589
165,"Median",0.0102667071240392
175,"Median",-0.0702214525853185
185,"Median",-0.116822092593829
195,"Median",-0.0868959334329856
-195,"Avg",0.217309927693016
-185,"Avg",0.13986478531838
-175,"Avg",0.0787813758527327
-165,"Avg",0.10292289103898
-155,"Avg",0.125187237164547
-145,"Avg",0.225886604852277
-135,"Avg",0.331361647836213
-125,"Avg",0.49244893019577
-115,"Avg",0.614174083684154
-105,"Avg",0.808315654390948
-95,"Avg",0.950193195297556
-85,"Avg",0.618873257183801
-75,"Avg",0.524778689402239
-65,"Avg",0.675887389140735
-55,"Avg",0.473011173783266
-45,"Avg",0.368821705223041
-35,"Avg",0.25334692814675
-25,"Avg",0.413736902136378
-15,"Avg",0.38461545317318
-5,"Avg",0.325202621388325
5,"Avg",0.391262999372743
15,"Avg",0.079050343432648
25,"Avg",-0.0530902709738504
35,"Avg",-0.059732135816838
45,"Avg",-0.0158997377075287
55,"Avg",0.0361078195300606
65,"Avg",0.0359527465017856
75,"Avg",-0.0117297721950713
85,"Avg",-0.0521598014279567
95,"Avg",-0.0820651170862317
105,"Avg",-0.0974331895106006
115,"Avg",-0.0800055807562371
125,"Avg",0.0841528492003833
135,"Avg",0.259004688653755
145,"Avg",0.204268728378412
155,"Avg",0.099487322943361
165,"Avg",-0.00204997999290973
175,"Avg",-0.0480410300974506
185,"Avg",-0.0937190342913575
195,"Avg",-0.121731214109338
-195,"Min",-0.097542256246911
-185,"Min",-0.202921248218126
-175,"Min",-0.272867967532727
-165,"Min",-0.177861757867358
-155,"Min",-0.0810589084631117
-145,"Min",-0.0470198271383641
-135,"Min",-0.257154697691394
-125,"Min",-0.443706222637064
-115,"Min",-0.489262328481093
-105,"Min",-0.22566342499216
-95,"Min",0.0873210640342984
-85,"Min",-0.466936913056071
-75,"Min",-0.602472237205636
-65,"Min",-0.683356954091867
-55,"Min",-0.596602506842854
-45,"Min",-0.483876825313724
-35,"Min",-0.362773529096714
-25,"Min",-0.104612781022917
-15,"Min",-0.131429979027348
-5,"Min",-0.0826608038714051
5,"Min",0.219103437904764
15,"Min",0.0217370250289177
25,"Min",-0.14748156822705
35,"Min",-0.179615428933546
45,"Min",-0.140601796830284
55,"Min",-0.0905168475363775
65,"Min",-0.106972965826192
75,"Min",-0.163651320517765
85,"Min",-0.22214176786467
95,"Min",-0.219238601792305
105,"Min",-0.181318962055214
115,"Min",-0.167395415300214
125,"Min",-0.0116004388395192
135,"Min",0.184134619414174
145,"Min",0.121090427243596
155,"Min",-0.105150472164067
165,"Min",-0.269244603653571
175,"Min",-0.206291156566324
185,"Min",-0.168894997378815
195,"Min",-0.231237567256026
